x0,y
0.0,409
0.0,156
0.0,83
0.0,20
0.0,32
0.0,57
0.0,42
0.0,171
0.0,713
0.0,795
0.0,526
0.0,107
0.0,549
0.0,546
0.0,128
0.0,74
0.0,241
0.0,1337
0.02400168675985932,449
0.0,547
0.01200084337992966,9025
0.0,861
0.02400168675985932,1080
0.0,608
0.0,196
0.0,714
0.03600253013978898,796
0.0,577
0.02400168675985932,1978
0.02400168675985932,953
0.01200084337992966,11582
0.03600253013978898,3869
0.0,1643
0.0,2033
0.0,3717
0.0,779
0.03600253013978898,849
0.0,1281
0.04800337351971864,3004
0.02400168675985932,2382
0.0,768
0.0,430
0.0,579
0.0,163
0.08400590365950762,339
0.0,467
0.0,2010
0.0,499
0.0,173
0.0,178
0.0,229
0.0,136
0.0,181
0.0,519
0.0,138
0.0,112
0.01200084337992966,144
0.0,135
0.0,122
0.0,1885
